#
#   VizieR Astronomical Server vizier.unistra.fr
#    Date: 2025-12-02T05:57:32 [V7.5.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-12-02T05:57:32	  Query execution date
#INFO	request=https://vizier.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-source=J/AcA/49/543/table1&-order=I&-out=Cluster&-out=Field&-out=Cepheid&-out=Dist&-out=Per&-out=HJD&-out=Vmag&-out=Imag&-out=E(B-V)&-out=Type&-out.all=2&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_120490543
#Name: J/AcA/49/543
#Title: OGLE LMC & SMC Cepheids VI photometry (Pietrzynski+, 1999)
#INFO	ivoid=ivo://cds.vizier/j/aca/49/543	    IVOID of underlying data collection
#INFO	creator=Pietrzynski G.	    First author or institution
#INFO	cites=bibcode:1999AcA....49..543P	    Article or Data origin sources
#INFO	original_date=1999	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AcA/49/543	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.120490543	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-09-25	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AcA_49_543_table1:
#Name: J/AcA/49/543/table1
#Title: Cepheid in star clusters from the LMC
#Column	Cluster	(a7)	Cluster name (LMCNNNN or SMCNNNN)	[ucd=meta.id.parent]
#Column	Field	(a8)	Field designation (LMC_SCNN or SMC_SC)	[ucd=obs.field]
#Column	Cepheid	(I6)	Cepheid number in the field	[ucd=meta.id;meta.main]
#Column	Dist	(F4.1)	? Distance from the cluster center, measured in cluster radius	[ucd=pos.distance]
#Column	Per	(F8.5)	Period	[ucd=time.period]
#Column	HJD	(F13.5)	HJD at maximum brightness	[ucd=time.epoch]
#Column	Vmag	(F6.3)	V mean magnitude	[ucd=phot.mag;em.opt.V]
#Column	Imag	(F6.3)	I mean magnitude	[ucd=phot.mag;em.opt.I]
#Column	E(B-V)	(F6.3)	Reddening	[ucd=phot.color.excess]
#Column	Type	(A2)	Cepheid pulsation mode type (1)	[ucd=meta.code;src.var]
Cluster	Field	Cepheid	Dist	Per	HJD	Vmag	Imag	E(B-V)	Type
 	 	 	 	d	d	mag	mag	mag	
-------	--------	------	----	--------	-------------	------	------	------	--
LMC0005	LMC_SC15	 45780	 0.7	 3.58788	2450723.23710	16.017	15.227	 0.126	FU
LMC0038	LMC_SC14	109715	 0.1	 1.91300	2450723.27982	15.898	15.337	 0.138	FO
LMC0051	LMC_SC14	160642	 0.3	 0.97211	2450724.94922	15.348	15.140	 0.138	BR
LMC0052	LMC_SC14	143866	 0.4	 2.04587	2450724.55632	16.136	15.391	 0.142	FO
LMC0054	LMC_SC14	170005	 0.5	20.64642	2450712.44747	14.347	13.344	 0.138	FA
LMC0058	LMC_SC14	220934	 0.6	 0.86912	2450724.83583	16.982	16.409	 0.142	DM
LMC0058	LMC_SC14	221178	 1.2	16.74144	2450717.42796	18.870	17.666	 0.142	FA
LMC0069	LMC_SC12	200768	 1.2	14.87020	2450716.87361	16.716	15.790	 0.124	FA
LMC0074	LMC_SC12	 37723	 0.6	 2.47581	2450444.05113	17.318	16.894	 0.139	FA
LMC0090	LMC_SC13	111968	 1.1	 8.33337	2450722.56247	14.975	14.138	 0.135	FU
LMC0093	LMC_SC13	111968	 0.4	 8.33337	2450722.56247	14.975	14.138	 0.135	FU
LMC0113	LMC_SC13	173734	 0.7	12.72593	2450713.03927	14.609	13.694	 0.135	FU
LMC0115	LMC_SC13	178831	 0.8	17.45740	2450713.31458	14.256	13.276	 0.135	FU
LMC0125	LMC_SC11	228660	 0.8	 4.20424	2450722.18621	15.774	14.952	 0.129	FU
LMC0136	LMC_SC11	118714	 0.8	 3.09884	2450723.48360	16.251	15.486	 0.154	FU
LMC0142	LMC_SC11	250872	 0.2	18.65508	2450717.25663	13.964	13.056	 0.152	FU
LMC0142	LMC_SC11	250925	 0.0	 5.56688	2450719.67472	14.477	13.879	 0.152	FO
LMC0142	LMC_SC11	250938	 0.2	 8.55890	2450719.65413	14.650	13.913	 0.153	FU
LMC0152	LMC_SC11	257240	 1.4	11.86131	2450713.17954	14.422	13.607	 0.152	FU
LMC0154	LMC_SC11	338308	 0.9	 1.74277	2450723.93868	16.266	15.609	 0.152	FO
LMC0156	LMC_SC11	338308	 1.3	 1.74277	2450723.93868	16.266	15.609	 0.152	FO
LMC0157	LMC_SC11	306838	 0.8	 1.06752	2450724.41740	17.333	16.534	 0.151	FO
LMC0164	LMC_SC11	 49743	 1.3	 2.29575	2450443.10180	15.753	15.080	 0.146	FO
LMC0164	LMC_SC11	 49799	 0.8	 1.56520	2450444.92204	16.307	15.635	 0.146	FO
LMC0164	LMC_SC11	 54641	 0.5	 2.71388	2450444.56352	16.192	15.452	 0.132	FU
LMC0164	LMC_SC11	331546	 1.3	11.90536	2450713.18698	14.626	13.720	 0.152	FU
LMC0164	LMC_SC11	331601	 0.7	56.49819	2450686.12410	15.116	14.959	 0.152	FA
LMC0209	LMC_SC10	250332	 0.6	 2.01253	2450443.28253	15.858	15.185	 0.147	FO
LMC0211	LMC_SC10	245266	 0.8	 3.96572	2450443.23028	15.559	14.852	 0.147	FU
LMC0261	LMC_SC8 	 76174	 0.4	 2.90619	2450442.43915	15.308	14.658	 0.142	FO
LMC0261	LMC_SC8 	 76176	 0.9	 2.46017	2450444.78291	15.480	14.812	 0.142	FO
LMC0261	LMC_SC8 	 76179	 0.3	 2.46242	2450443.09468	15.611	14.925	 0.142	FO
LMC0262	LMC_SC8 	 86096	 0.4	 3.82230	2450444.32857	15.900	15.081	 0.142	FU
LMC0263	LMC_SC8 	 21319	 1.2	 5.42859	2450440.73741	15.146	14.440	 0.133	FU
LMC0266	LMC_SC8 	 39745	 0.9	 6.89000	2450441.24680	15.308	14.463	 0.133	FU
LMC0269	LMC_SC8 	 64734	 0.3	 3.53975	2450443.36233	16.039	15.263	 0.136	FU
LMC0276	LMC_SC8 	145110	 0.5	 3.44680	2450443.93145	15.978	15.267	 0.136	FU
LMC0278	LMC_SC8 	118595	 0.3	 6.45160	2450440.43021	15.224	14.430	 0.133	FU
LMC0285	LMC_SC8 	151151	 0.6	 2.03362	2450444.28845	15.945	15.322	 0.136	FO
LMC0303	LMC_SC8 	242825	 0.1	 1.15426	2450444.15257	16.736	16.130	 0.136	DM
LMC0304	LMC_SC8 	363511	 0.3	 0.92234	2450444.30269	17.218	16.550	 0.142	FO
LMC0305	LMC_SC8 	298699	 1.0	 4.79323	2450444.01190	15.410	14.642	 0.133	FU
LMC0306	LMC_SC8 	337664	 0.2	 0.62980	2450444.55248	17.165	16.672	 0.136	DM
LMC0309	LMC_SC8 	318671	 0.9	 8.17005	2450443.08395	14.579	13.852	 0.133	FU
LMC0312	LMC_SC8 	318671	 0.9	 8.17005	2450443.08395	14.579	13.852	 0.133	FU
LMC0318	LMC_SC7 	 21841	 1.0	 4.81308	2450442.24754	15.580	14.816	 0.143	FU
LMC0321	LMC_SC7 	 30199	 0.4	 4.10536	2450441.92826	15.709	14.977	 0.138	FU
LMC0321	LMC_SC7 	 30200	 0.1	 3.28632	2450442.74251	15.755	15.121	 0.138	FU
LMC0332	LMC_SC7 	192212	 0.2	 2.41249	2450444.85037	15.620	15.036	 0.142	FO
LMC0336	LMC_SC7 	174573	 0.9	 3.76557	2450444.39097	16.445	15.540	 0.138	FU
LMC0344	LMC_SC7 	325360	 0.6	 2.64961	2450443.25720	16.343	15.643	 0.142	FU
LMC0350	LMC_SC7 	311535	 1.4	 4.32379	2450444.14237	15.111	14.373	 0.142	FO
LMC0362	LMC_SC7 	 86027	 0.5	 0.40354	2450444.87352	18.111	17.563	 0.107	FO
LMC0362	LMC_SC7 	425296	 0.5	 0.40354	2450444.87720	18.112	17.537	 0.142	FO
LMC0365	LMC_SC21	 40943	 1.4	 1.80312	2450724.92207	16.054	15.385	 0.146	FO
LMC0375	LMC_SC6 	 66641	 0.2	 2.71388	2450444.00445	16.111	15.483	 0.107	FU
LMC0379	LMC_SC6 	 66530	 1.4	 8.69372	2450442.84074	14.706	13.966	 0.107	FU
LMC0394	LMC_SC6 	254054	 0.3	 3.09206	2450442.57315	16.391	15.577	 0.138	FU
LMC0394	LMC_SC6 	254057	 0.4	 3.38313	2450443.41709	16.519	15.613	 0.138	FU
LMC0394	LMC_SC6 	254530	 1.5	 1.26602	2450444.93725	18.249	17.751	 0.138	FA
LMC0395	LMC_SC6 	254054	 0.9	 3.09206	2450442.57315	16.391	15.577	 0.138	FU
LMC0395	LMC_SC6 	254057	 1.3	 3.38313	2450443.41709	16.519	15.613	 0.138	FU
LMC0395	LMC_SC6 	254530	 1.2	 1.26602	2450444.93725	18.249	17.751	 0.138	FA
LMC0401	LMC_SC6 	267410	 0.3	 0.88863	2450444.49611	17.232	16.588	 0.126	FO
LMC0407	LMC_SC6 	422348	 0.7	 5.63875	2450443.91906	15.306	14.581	 0.107	FU
LMC0408	LMC_SC6 	431558	 0.4	 2.24761	2450444.31615	15.579	15.007	 0.107	FO
LMC0410	LMC_SC6 	 26913	 0.2	 5.73854	2450444.31113	15.559	14.622	 0.115	FU
LMC0410	LMC_SC6 	377026	 0.2	 5.73913	2450444.22041	15.513	14.627	 0.138	FU
LMC0411	LMC_SC21	    12	 0.1	 3.23227	2450442.70858	16.226	15.323	 0.130	FU
LMC0411	LMC_SC21	187786	 0.2	 3.85993	2450723.67241	15.929	15.066	 0.146	FU
LMC0411	LMC_SC21	187788	 0.2	 2.81419	2450722.79915	15.636	15.081	 0.146	FU
LMC0411	LMC_SC21	187792	 0.1	 4.52988	2450724.83766	15.797	14.927	 0.146	FU
LMC0411	LMC_SC21	187797	 0.6	 2.97310	2450723.45071	16.460	15.488	 0.146	FU
LMC0411	LMC_SC21	187840	 0.6	 2.01501	2450724.55164	16.050	15.339	 0.146	FO
LMC0411	LMC_SC21	187849	 0.1	 3.28019	2450724.58073	16.187	15.261	 0.146	FU
LMC0411	LMC_SC21	187853	 0.1	 3.35487	2450724.73951	16.604	15.598	 0.146	FU
LMC0411	LMC_SC21	187856	 0.3	 3.16725	2450723.96832	16.067	15.201	 0.146	FU
LMC0412	LMC_SC6 	422324	 0.7	 2.23825	2450443.72420	15.785	15.135	 0.107	FO
LMC0431	LMC_SC5 	275320	 0.1	 3.66130	2450444.10632	14.994	14.356	 0.115	FO
LMC0431	LMC_SC5 	275412	 1.5	 2.37496	2450443.48611	16.361	15.668	 0.115	FU
LMC0436	LMC_SC5 	372083	 1.0	 5.67416	2450442.21699	15.474	14.629	 0.115	FU
LMC0438	LMC_SC5 	399066	 0.7	 5.40730	2450442.52121	15.393	14.579	 0.115	FU
LMC0457	LMC_SC4 	 53463	 0.5	 5.39550	2450440.52924	15.308	14.392	 0.120	FO
LMC0457	LMC_SC4 	 53514	 1.3	 5.97551	2450442.02593	15.533	14.642	 0.120	FU
LMC0457	LMC_SC4 	 53518	 0.1	 5.56684	2450443.02577	15.930	14.998	 0.120	FU
LMC0457	LMC_SC4 	 53527	 0.2	 7.68466	2450440.55810	16.029	14.834	 0.120	FU
LMC0457	LMC_SC4 	 53528	 0.3	 9.37703	2450440.78678	16.417	15.003	 0.120	FU
